N,P,K,ph,temperature,humidity,rainfall
77.0,58.0,19.0,5.79165,22.805603,56.50769,101.595276
66.0,44.0,20.0,6.7400007,19.078148,69.02299,80.72516
63.0,35.0,16.0,6.2724175,22.02721,65.3555,83.7328
79.0,45.0,20.0,5.715209,23.805462,59.24538,89.962204
72.0,60.0,25.0,5.7734547,18.525108,69.027626,88.10234
67.0,51.0,24.0,5.5841713,23.50298,61.32026,64.777916
86.0,36.0,24.0,5.787268,26.549864,72.89188,73.33636
76.0,48.0,18.0,5.7759776,19.295633,69.63481,83.210304
75.0,53.0,18.0,6.864794,20.689,59.437534,103.651436
81.0,45.0,23.0,6.19236,19.32666,68.03449,84.22969
73.0,45.0,21.0,6.636803,24.605322,73.588684,96.59195
71.0,35.0,24.0,5.826427,22.273737,59.52193,67.96705
96.0,54.0,22.0,6.960358,25.701967,61.334503,83.207115
99.0,39.0,18.0,6.112751,19.201294,68.305786,87.85092
62.0,48.0,20.0,6.708447,21.701815,60.474705,95.71388
86.0,37.0,16.0,5.5615106,20.517168,59.212357,67.61014
94.0,50.0,19.0,5.8732424,23.303553,73.62548,97.59081
76.0,39.0,24.0,6.995844,24.254745,55.6471,64.23846
77.0,52.0,17.0,5.7148,24.863749,65.742004,75.82271
74.0,39.0,23.0,6.7807364,22.62651,65.77473,88.17251
81.0,49.0,20.0,5.513698,18.041855,60.614944,104.23216
63.0,42.0,21.0,5.798424,23.262377,72.33125,67.10225
99.0,38.0,21.0,6.352472,22.883308,71.59722,67.727776
90.0,52.0,25.0,6.8225865,25.974823,69.36385,103.22342
68.0,40.0,19.0,6.6554265,26.14384,66.205696,107.23614
60.0,57.0,24.0,6.121294,18.661161,61.553272,75.03248
71.0,52.0,18.0,5.79077,25.107874,55.97733,78.160774
61.0,59.0,17.0,6.474443,23.338446,59.245808,105.008316
88.0,38.0,15.0,6.4551167,25.082397,65.92196,62.49191
65.0,60.0,22.0,6.606984,25.367683,72.520546,107.912415
78.0,37.0,22.0,6.3305545,25.34217,63.31802,74.52082
78.0,58.0,15.0,6.528631,25.009333,67.81657,62.913593
92.0,60.0,23.0,5.7216673,18.667467,71.51647,69.93293
79.0,59.0,17.0,6.6442056,20.379997,63.7385,108.50544
91.0,55.0,15.0,6.3766513,18.093002,72.610245,78.96159
76.0,51.0,18.0,6.2470403,26.169859,71.96246,79.84925
87.0,48.0,25.0,6.65673,18.653967,61.378796,93.62039
71.0,60.0,22.0,6.2048016,26.074701,59.371475,85.75693
90.0,57.0,24.0,6.15886,18.928518,72.800865,82.34163
67.0,35.0,22.0,6.385684,23.305468,63.24648,108.7603
60.0,54.0,19.0,6.4178205,18.748266,62.498783,70.23402
83.0,58.0,23.0,6.3812017,19.742134,59.662632,65.50861
83.0,57.0,19.0,6.877869,25.730444,70.74739,98.73772
40.0,72.0,77.0,7.4859962,17.024984,16.988611,88.55123
23.0,72.0,84.0,6.9202514,19.020613,17.131592,79.92698
39.0,58.0,85.0,5.996932,17.887764,15.405897,68.54933
22.0,72.0,85.0,6.3911734,18.868057,15.6580925,88.51049
36.0,67.0,77.0,7.152811,18.369526,19.56381,79.26358
32.0,73.0,81.0,5.9889927,20.450787,15.403121,92.68374
58.0,70.0,84.0,6.231049,20.65432,16.608208,74.66311
59.0,70.0,84.0,7.5508084,17.334867,18.74927,82.61735
42.0,62.0,75.0,7.0105705,18.179123,18.90427,81.849976
28.0,74.0,81.0,8.753796,18.012722,18.30968,81.98569
58.0,66.0,79.0,8.718193,20.993736,19.334703,93.5528
43.0,66.0,79.0,7.976608,19.46234,15.2253895,74.58565
58.0,63.0,81.0,6.5154996,19.813446,15.0,78.96515
23.0,62.0,85.0,8.490128,18.974247,19.51612,80.71088
27.0,62.0,77.0,6.5764155,18.19737,15.0,70.181854
28.0,72.0,84.0,6.481783,18.729631,19.181973,71.5801
50.0,56.0,76.0,7.966605,20.995022,19.86013,73.50734
39.0,71.0,84.0,8.140825,20.281559,16.395351,82.5234
25.0,78.0,76.0,7.2289634,17.480427,15.75594,66.9698
31.0,70.0,77.0,6.492546,20.888187,15.0,90.46228
26.0,80.0,83.0,7.5285997,17.084986,16.145658,71.310074
25.0,68.0,77.0,7.7014465,20.093407,15.112796,85.74905
31.0,78.0,76.0,8.519976,17.57212,15.0,89.31051
60.0,68.0,83.0,6.6209006,19.120651,18.43476,85.5295
59.0,62.0,83.0,8.104396,18.576658,19.220083,72.9494
22.0,67.0,78.0,6.204091,17.166063,15.0,72.326675
36.0,65.0,80.0,6.051091,18.2872,16.679216,74.87446
59.0,60.0,84.0,7.6909623,19.030252,18.667255,94.70992
54.0,77.0,85.0,7.829211,17.141861,17.066242,83.74606
43.0,68.0,81.0,6.7615995,17.478094,17.932539,78.9206
28.0,76.0,82.0,6.654425,20.56602,15.0,83.75937
42.0,79.0,85.0,6.129534,17.223852,15.820693,76.57581
32.0,60.0,83.0,8.829273,19.691418,19.442255,91.76072
22.0,78.0,76.0,8.621663,17.848516,19.091728,76.32471
31.0,79.0,75.0,8.204862,18.820225,16.10748,89.73119
28.0,58.0,81.0,6.1804276,17.47501,16.543148,93.35034
57.0,58.0,77.0,7.9789968,18.726494,17.584064,81.20177
49.0,55.0,78.0,7.863114,18.655802,16.177727,81.707695
46.0,76.0,77.0,6.967843,18.235676,19.685385,83.748795
54.0,61.0,77.0,6.206582,18.811981,15.216183,77.542946
38.0,60.0,76.0,8.868741,18.650541,17.808525,77.927986
59.0,55.0,79.0,8.766129,20.367205,16.895742,82.254555
36.0,76.0,75.0,8.736338,18.381203,16.638052,70.52057
57.0,68.0,81.0,8.081096,17.170126,17.304577,72.78624
35.0,66.0,81.0,6.138244,19.371012,15.774581,85.2482
35.0,64.0,78.0,7.4966455,17.92846,15.0,85.37379
52.0,60.0,79.0,8.380185,19.4534,18.234907,75.63176
27.0,76.0,83.0,6.289614,19.128294,15.0,89.618576
57.0,60.0,84.0,6.586777,19.103428,17.261845,75.49101
52.0,68.0,78.0,6.896552,17.48504,16.960707,86.05078
43.0,79.0,79.0,7.8067474,19.407518,18.980305,80.25065
44.0,74.0,85.0,7.1506815,20.186495,19.6372,78.2604
24.0,55.0,78.0,6.6491957,17.30288,15.154059,75.5779
29.0,77.0,75.0,7.7785916,17.50361,15.480831,72.944664
20.0,60.0,78.0,6.3587403,18.17235,15.0,90.77607
56.0,67.0,78.0,8.255451,17.574455,16.718266,77.81892
37.0,66.0,85.0,6.4561486,20.931753,18.912954,78.06911
49.0,71.0,76.0,6.613072,19.710983,17.638794,85.579254
59.0,69.0,80.0,8.1653595,19.079376,17.86755,69.40619
20.0,79.0,77.0,7.6486745,18.549887,16.025427,76.32565
24.0,56.0,85.0,6.5458884,18.199036,17.413332,80.64054
51.0,72.0,75.0,7.1042247,18.888525,15.0,80.111336
57.0,73.0,85.0,7.3580995,18.493113,15.0,91.94595
22.0,64.0,82.0,6.4740243,19.489744,17.172604,87.51313
52.0,73.0,79.0,7.840339,17.257694,18.74944,94.00287
29.0,75.0,75.0,7.0647902,19.624163,18.714832,88.45857
44.0,59.0,78.0,7.5990334,20.675264,19.85389,84.78344
41.0,69.0,82.0,6.715587,20.023815,16.632944,68.978065
52.0,56.0,85.0,6.8171244,20.118744,15.0,88.68169
34.0,76.0,80.0,7.9854174,20.656918,15.845726,65.23811
42.0,74.0,83.0,7.5452585,19.258255,15.0,65.78042
34.0,71.0,79.0,7.728998,17.927807,15.856229,74.638725
27.0,73.0,79.0,7.3549733,19.162882,15.835007,82.69767
30.0,70.0,79.0,7.3131223,20.269423,19.96979,69.64449
57.0,57.0,75.0,7.785039,17.091042,18.251421,87.27445
27.0,79.0,82.0,6.307005,17.065792,17.540241,70.871506
32.0,71.0,85.0,6.403982,20.627674,15.0,92.0663
31.0,76.0,82.0,7.59928,20.824844,17.85057,79.20509
33.0,75.0,84.0,7.2170186,19.462105,18.72832,68.81405
47.0,80.0,77.0,7.561108,17.182484,16.428919,72.850174
54.0,62.0,80.0,7.489545,17.489117,16.390554,79.45758
47.0,79.0,78.0,6.609697,17.483953,15.0,65.113655
35.0,57.0,83.0,7.476801,19.483168,17.445347,80.49863
53.0,73.0,77.0,7.3254514,19.713598,18.096657,73.64477
45.0,61.0,78.0,6.4893894,19.486492,16.0624,81.52843
37.0,78.0,79.0,7.7863665,19.952648,15.0,88.68103
30.0,75.0,81.0,6.4084377,19.417898,16.804722,68.49512
37.0,55.0,82.0,8.423874,19.45592,18.02236,78.449104
53.0,65.0,76.0,8.719961,20.191378,16.419983,77.33795
22.0,60.0,85.0,7.811998,18.83929,15.0,94.7819
60.0,61.0,78.0,6.317153,20.712193,19.836433,94.0366
42.0,67.0,77.0,7.114405,18.994244,15.936294,78.697075
39.0,76.0,76.0,8.1359005,19.968374,15.573244,69.15759
35.0,63.0,76.0,7.714153,17.815645,17.607567,90.82098
30.0,65.0,82.0,7.103798,20.714243,15.27824,76.778885
57.0,56.0,78.0,8.86148,17.341503,18.756262,67.954544
48.0,65.0,78.0,7.8611283,17.437326,15.0,73.09267
36.0,56.0,83.0,7.452671,18.897802,19.76183,69.09512
40.0,58.0,75.0,7.168096,18.591908,15.0,89.609825
49.0,69.0,82.0,7.2631187,18.315615,15.361436,81.7871
13.0,60.0,25.0,5.6859717,17.136929,20.595417,128.25687
25.0,70.0,16.0,5.759237,19.634743,18.907057,106.35982
31.0,55.0,22.0,5.873172,22.913502,21.33953,109.225555
40.0,64.0,16.0,5.9266768,16.433403,24.24046,140.37178
2.0,61.0,20.0,5.9556165,22.139746,23.02251,76.64128
26.0,65.0,22.0,5.9499493,17.848066,18.77622,143.09842
17.0,57.0,21.0,5.789214,19.88394,20.315641,60.919746
26.0,80.0,18.0,5.5810213,19.325096,23.333479,104.7784
17.0,59.0,17.0,5.689858,18.4167,23.428299,132.9801
27.0,59.0,22.0,5.7941585,21.811676,23.205912,130.0608
28.0,58.0,24.0,5.7481904,19.727026,18.28173,143.76309
25.0,57.0,19.0,5.566523,17.15433,19.870707,87.9967
28.0,80.0,17.0,5.8094196,19.622078,18.67171,144.15674
25.0,60.0,22.0,5.887263,21.63149,21.179197,134.36499
12.0,78.0,23.0,5.9981246,16.065228,18.724796,88.06639
6.0,77.0,25.0,5.7927446,20.611622,24.363142,69.638336
22.0,79.0,17.0,5.91229,21.424511,20.396597,116.52069
27.0,80.0,15.0,5.788387,19.070961,21.210922,86.21918
10.0,55.0,23.0,5.728233,21.188532,19.634386,137.19487
23.0,65.0,20.0,5.83394,23.04291,22.42611,108.36843
19.0,78.0,16.0,5.967533,20.653759,23.105387,67.71769
19.0,65.0,25.0,5.6250963,18.09551,18.293184,144.79024
22.0,70.0,19.0,5.515615,18.237757,21.076433,69.44952
37.0,64.0,22.0,5.954665,17.481897,18.825197,121.94014
11.0,71.0,17.0,5.7464476,19.919178,21.473242,82.68555
18.0,79.0,20.0,5.8773475,20.275146,23.235361,139.75215
21.0,63.0,17.0,5.979974,15.773702,19.230316,108.34414
24.0,80.0,22.0,5.635994,16.711706,19.176514,96.77286
34.0,60.0,22.0,5.635232,17.661482,18.153027,100.67117
16.0,75.0,21.0,5.6792245,18.506927,23.616701,87.05133
17.0,77.0,23.0,5.670063,24.513248,20.815277,64.19498
37.0,72.0,18.0,5.724242,18.87615,24.540382,105.41205
40.0,73.0,20.0,5.811314,21.59343,20.318712,61.13872
9.0,77.0,17.0,5.7834253,20.123734,24.452026,106.1582
1.0,62.0,23.0,5.6078086,15.435461,18.374779,139.0302
33.0,59.0,22.0,5.9469995,22.642368,21.593962,122.3886
23.0,59.0,19.0,5.852047,21.985607,24.873049,129.56506
6.0,62.0,22.0,5.824091,20.530527,18.092241,120.45093
25.0,63.0,20.0,5.5029993,15.786014,21.145441,95.17028
7.0,79.0,23.0,5.82165,19.636536,19.687511,96.65889
8.0,72.0,17.0,5.711439,20.573412,19.752022,87.87869
27.0,64.0,15.0,5.5149274,20.160805,24.842075,138.2362
28.0,66.0,23.0,5.996161,21.539892,24.253862,120.69131
32.0,57.0,18.0,5.6954226,15.538348,23.755602,107.385056
27.0,56.0,22.0,5.833011,19.918531,20.700998,108.643456
17.0,77.0,24.0,5.568457,20.769522,18.931469,109.01937
0.0,65.0,15.0,5.645436,23.461683,23.221977,95.84254
13.0,72.0,21.0,5.8211946,24.321167,21.027868,60.275524
34.0,60.0,23.0,5.659255,20.12574,24.969698,100.04972
9.0,80.0,19.0,5.945466,21.806196,18.570866,125.09727
11.0,72.0,20.0,5.9511776,19.522263,24.926071,113.33402
3.0,67.0,24.0,5.52088,17.000677,19.907906,103.29264
35.0,69.0,23.0,5.57841,16.787914,24.968817,75.45328
3.0,77.0,25.0,5.6081653,24.849062,22.894646,62.21292
23.0,62.0,19.0,5.609435,16.517834,20.455559,98.77794
22.0,71.0,17.0,5.5092955,18.153002,19.38602,107.690796
31.0,79.0,25.0,5.9020333,23.188644,22.310455,63.382088
34.0,59.0,18.0,5.7441177,23.380026,21.988794,87.66898
12.0,63.0,17.0,5.7171435,18.358923,19.377033,138.41476
27.0,56.0,20.0,5.5426903,19.259754,20.51347,94.953354
7.0,63.0,24.0,5.858618,22.954582,24.035532,107.73154
24.0,67.0,22.0,5.6188445,20.120043,22.898457,104.62521
11.0,71.0,24.0,5.6066203,21.140114,22.718235,141.60567
37.0,74.0,15.0,5.5821786,24.923601,18.225908,62.708916
25.0,76.0,24.0,5.5650353,15.330426,24.915068,135.33156
34.0,66.0,17.0,5.8896146,18.810972,21.27833,125.084915
20.0,69.0,15.0,5.9341364,23.442606,22.77256,107.41373
37.0,65.0,16.0,5.6835485,22.835203,18.972675,63.592766
18.0,74.0,15.0,5.708366,24.903582,22.275127,146.47272
4.0,67.0,25.0,5.9481645,23.787096,24.356794,119.64044
37.0,56.0,25.0,5.774755,22.055923,19.603792,126.72654
5.0,59.0,15.0,5.9722915,18.87493,20.182383,134.18117
11.0,61.0,21.0,5.5321007,18.623287,23.024103,135.3378
22.0,80.0,20.0,5.669561,23.008848,18.86881,100.118614
12.0,61.0,19.0,5.655727,19.331627,24.13995,68.512535
5.0,74.0,21.0,5.591704,16.244692,21.357939,66.970535
27.0,69.0,22.0,5.932323,17.916523,24.908146,69.14681
31.0,75.0,18.0,5.8242083,15.467893,21.437807,88.88796
36.0,68.0,20.0,5.8644295,17.061045,23.772015,81.834206
5.0,65.0,16.0,5.8667445,21.32776,18.48523,109.101326
32.0,79.0,15.0,5.7061987,23.909101,20.746193,81.60211
11.0,78.0,22.0,5.940547,23.897568,22.74379,112.661644
0.0,55.0,22.0,5.9167795,22.98667,20.579407,143.85849
14.0,59.0,15.0,5.7790904,21.351357,22.912449,146.45486
29.0,68.0,23.0,5.82738,24.163845,19.279078,116.73243
32.0,68.0,19.0,5.514234,24.628351,18.183252,149.74411
17.0,64.0,17.0,5.662699,21.022133,24.938963,124.61185
13.0,69.0,19.0,5.863904,17.308445,20.01731,115.19924
14.0,67.0,22.0,5.62469,23.825768,24.75485,84.64143
9.0,69.0,20.0,5.591561,19.306072,23.963629,129.34494
20.0,73.0,22.0,5.9763126,16.037685,22.331959,130.39008
40.0,78.0,20.0,5.669236,19.185728,20.833982,80.15293
27.0,72.0,23.0,5.9619346,19.928896,21.799921,64.026405
14.0,67.0,15.0,5.690066,19.563765,24.673851,139.2921
7.0,56.0,18.0,5.6983714,18.313576,24.329916,76.14154
27.0,65.0,18.0,5.5950317,20.109938,23.223238,73.36386
30.0,63.0,16.0,5.5259047,23.605066,21.905396,100.59787
37.0,70.0,25.0,5.8194036,19.731369,24.894873,84.06354
27.0,63.0,19.0,5.562202,20.9341,21.1893,133.19144
22.0,60.0,24.0,5.630665,18.782263,20.247683,104.25707
3.0,72.0,24.0,6.0316076,36.512684,57.92887,122.65397
40.0,59.0,23.0,5.2690845,36.891636,62.73178,163.72665
33.0,73.0,23.0,5.9857926,29.235405,59.389675,103.33018
27.0,57.0,24.0,6.0918627,27.335348,43.35796,142.33037
10.0,79.0,18.0,5.6247315,21.06437,55.46986,184.62267
30.0,75.0,25.0,6.4460917,30.332766,42.352497,149.29996
40.0,70.0,20.0,5.62349,31.801302,45.03186,147.03615
38.0,55.0,19.0,5.8646235,33.181843,38.231846,198.82988
35.0,58.0,20.0,5.7617025,29.385386,63.47742,90.05423
38.0,61.0,21.0,4.696519,30.27375,67.38681,127.77671
33.0,58.0,24.0,5.269504,35.457905,68.7581,108.63331
16.0,56.0,17.0,7.445445,33.8002,40.032623,176.6166
31.0,72.0,17.0,5.8330317,28.691805,49.47225,96.36223
16.0,80.0,20.0,7.339321,31.240217,56.67369,122.01467
27.0,72.0,17.0,6.3479295,28.980394,57.23265,120.74357
40.0,62.0,19.0,4.6977506,27.32199,34.13737,96.51524
18.0,58.0,16.0,4.9626613,21.476078,38.800236,180.38223
3.0,68.0,16.0,4.9648876,18.319105,34.697765,107.47216
26.0,67.0,24.0,5.642813,36.977943,37.73993,161.4813
16.0,70.0,20.0,5.6093955,24.804676,40.124275,121.56391
24.0,63.0,19.0,4.6815763,19.347944,55.968056,194.59212
9.0,76.0,25.0,5.709512,28.883022,50.123238,179.21559
16.0,55.0,19.0,6.4135437,19.54314,47.191883,192.43723
28.0,75.0,21.0,6.0075083,24.774195,50.54621,114.282135
16.0,71.0,24.0,4.9463696,18.331247,38.409756,139.64833
24.0,70.0,21.0,5.517208,19.147291,45.373375,132.77483
38.0,72.0,21.0,5.902103,28.234161,49.442135,186.50085
9.0,66.0,21.0,5.7198896,30.11812,34.13308,157.08583
34.0,56.0,17.0,4.548202,33.412685,35.4291,139.67026
