N,P,K,ph,temperature,humidity,rainfall,N_P_ratio,N_K_ratio,P_K_ratio,soil_health_score,zinc_deficiency,iron_deficiency,boron_deficiency,multiple_deficiency,any_deficiency,temperature_stress,moisture_stress
89.0,60.0,19.0,5.9136643,25.191925,66.69029,78.0664,1.4590164,4.45,3.0,0.565,0,0,0,0,0,0,0
76.0,44.0,17.0,5.8554425,20.416832,62.55425,65.277985,1.6888889,4.2222223,2.4444444,0.542,0,0,0,0,0,0,0
67.0,60.0,25.0,5.750255,24.921621,66.78628,109.216225,1.0983607,2.5769231,2.3076923,0.532,0,0,0,0,0,0,0
70.0,44.0,19.0,5.8526073,23.31689,73.454155,94.29713,1.5555556,3.5,2.2,0.536,0,0,0,0,0,0,0
90.0,49.0,21.0,6.472523,24.840168,68.35846,74.05475,1.8,4.090909,2.2272727,0.639,0,0,0,0,0,0,0
62.0,52.0,16.0,6.9670577,22.275267,58.84016,63.870205,1.1698114,3.6470587,3.0588236,0.597,0,0,0,0,0,0,0
92.0,44.0,16.0,6.082974,18.877514,65.76816,94.761894,2.0444446,5.4117646,2.5882354,0.635,0,0,0,0,0,0,0
66.0,54.0,21.0,5.9190454,25.190086,60.20017,72.12376,1.2,3.0,2.4545455,0.54,0,0,0,0,0,0,0
63.0,58.0,22.0,6.2047477,18.254053,55.282204,63.723583,1.0677966,2.7391305,2.5217392,0.606,0,0,0,0,0,0,0
70.0,47.0,17.0,6.600827,24.612911,70.416245,104.16261,1.4583334,3.8888888,2.6111112,0.609,0,0,0,0,0,0,0
61.0,41.0,17.0,6.021902,25.142061,65.26185,76.68456,1.4523809,3.3888888,2.2777777,0.598,0,0,0,0,0,0,0
66.0,53.0,19.0,6.0335503,23.093481,60.115936,65.49731,1.2222222,3.3,2.65,0.606,0,0,0,0,0,0,0
74.0,55.0,19.0,6.288868,18.050337,62.89367,84.23614,1.3214285,3.7,2.75,0.616,0,0,0,0,0,0,0
77.0,57.0,21.0,6.550564,24.932158,73.80435,79.74078,1.3275862,3.5,2.590909,0.622,0,0,0,0,0,0,0
99.0,50.0,15.0,5.5732865,18.1471,71.09445,88.07754,1.9411764,6.1875,3.125,0.544,0,0,0,0,0,0,0
74.0,56.0,22.0,6.8291993,18.283623,66.65953,80.97573,1.2982457,3.2173913,2.4347825,0.62,0,0,0,0,0,0,0
83.0,45.0,21.0,5.716223,18.833445,58.75082,79.75329,1.8043479,3.7727273,2.0454545,0.544,0,0,0,0,0,0,0
100.0,48.0,16.0,5.5499024,25.718958,67.22191,74.51491,2.0408163,5.882353,2.8235295,0.545,0,0,0,0,0,0,0
79.0,51.0,16.0,6.5862446,25.337976,68.49836,96.4638,1.5192307,4.647059,3.0,0.619,0,0,0,0,0,0,0
94.0,39.0,18.0,5.893093,23.891146,57.48776,102.83019,2.35,4.9473686,2.0526316,0.562,0,0,0,0,0,0,0
75.0,49.0,15.0,5.918264,21.535742,71.509056,102.48529,1.5,4.6875,3.0625,0.543,0,0,0,0,0,0,0
78.0,48.0,22.0,5.5886507,23.089748,63.104595,70.43474,1.5918367,3.3913043,2.0869565,0.528,0,0,0,0,0,0,0
87.0,54.0,20.0,6.5764184,25.617073,63.471176,108.830376,1.5818182,4.142857,2.5714285,0.634,0,0,0,0,0,0,0
87.0,35.0,25.0,6.1780562,21.445269,63.162155,65.88951,2.4166667,3.3461537,1.3461539,0.609,0,0,0,0,0,0,0
63.0,43.0,19.0,6.6419063,18.518167,55.53128,90.98805,1.4318181,3.15,2.15,0.602,0,0,0,0,0,0,0
84.0,57.0,25.0,6.4890404,22.535105,67.99258,64.40866,1.4482758,3.2307692,2.1923077,0.636,0,0,0,0,0,0,0
64.0,35.0,23.0,5.6803613,23.020384,61.89472,63.038433,1.7777778,2.6666667,1.4583334,0.488,0,0,0,0,0,0,0
60.0,46.0,22.0,6.6254044,24.893646,65.61419,87.92981,1.2765957,2.6086957,2.0,0.602,0,0,0,0,0,0,0
98.0,44.0,21.0,6.524478,25.771751,74.08911,107.493195,2.1777778,4.4545455,2.0,0.649,0,0,0,0,0,0,0
75.0,56.0,18.0,5.6962056,19.398518,62.357506,60.951973,1.3157895,3.9473684,2.9473684,0.528,0,0,0,0,0,0,0
86.0,55.0,21.0,6.8039317,21.541563,59.64024,109.75154,1.5357143,3.909091,2.5,0.634,0,0,0,0,0,0,0
98.0,35.0,18.0,6.2527976,23.79746,74.82914,91.763374,2.7222223,5.1578946,1.8421053,0.614,0,0,0,0,0,0,0
76.0,57.0,18.0,6.0927258,18.980272,74.52601,94.2625,1.3103448,4.0,3.0,0.618,0,0,0,0,0,0,0
99.0,56.0,17.0,6.23433,24.108593,73.13113,71.07562,1.7368422,5.5,3.1111112,0.645,0,0,0,0,0,0,0
60.0,44.0,23.0,5.72258,24.794708,70.04557,76.7286,1.3333334,2.5,1.8333334,0.518,0,0,0,0,0,0,0
74.0,48.0,17.0,6.4306164,21.631628,60.277664,69.21803,1.5102041,4.111111,2.6666667,0.614,0,0,0,0,0,0,0
89.0,60.0,17.0,5.9839525,25.375488,57.210255,101.70043,1.4590164,4.9444447,3.3333333,0.569,0,0,0,0,0,0,0
69.0,51.0,23.0,6.8016386,22.217382,72.85463,106.621315,1.3269231,2.875,2.125,0.615,0,0,0,0,0,0,0
96.0,46.0,22.0,6.4999366,20.58314,69.00129,66.29391,2.0425532,4.173913,2.0,0.648,0,0,0,0,0,0,0
61.0,60.0,15.0,6.2655644,24.875029,68.742485,91.26057,1.0,3.8125,3.75,0.595,0,0,0,0,0,0,0
74.0,58.0,18.0,6.7273035,20.037283,56.356068,109.02414,1.2542373,3.8947368,3.0526316,0.615,0,0,0,0,0,0,0
74.0,43.0,23.0,6.3252354,25.952633,61.890823,99.57981,1.6818181,3.0833333,1.7916666,0.621,0,0,0,0,0,0,0
63.0,43.0,17.0,6.807488,19.288898,65.470505,71.319534,1.4318181,3.5,2.3888888,0.6,0,0,0,0,0,0,0
99.0,36.0,20.0,6.671086,20.579819,65.34584,78.34605,2.6756756,4.714286,1.7142857,0.624,0,0,0,0,0,0,0
77.0,36.0,23.0,6.6487255,24.714176,56.734264,88.45362,2.0810812,3.2083333,1.5,0.6,0,0,0,0,0,0,0
87.0,60.0,23.0,6.439072,20.27317,63.91282,62.503517,1.4262295,3.625,2.5,0.638,0,0,0,0,0,0,0
60.0,38.0,17.0,6.4744763,18.41933,64.2358,76.413124,1.5384616,3.3333333,2.1111112,0.584,0,0,0,0,0,0,0
94.0,54.0,17.0,5.871648,23.391281,61.74427,107.31982,1.709091,5.2222223,3.0,0.566,0,0,0,0,0,0,0
95.0,38.0,22.0,5.730617,19.849394,61.245,100.76892,2.4358974,4.130435,1.6521739,0.549,0,0,0,0,0,0,0
84.0,44.0,21.0,5.85044,21.869274,61.91045,107.268196,1.8666667,3.8181818,2.0,0.556,0,0,0,0,0,0,0
77.0,58.0,19.0,5.79165,22.805603,56.50769,101.595276,1.3050847,3.85,2.9,0.54,0,0,0,0,0,0,0
66.0,44.0,20.0,6.7400007,19.078148,69.02299,80.72516,1.4666667,3.142857,2.0952382,0.608,0,0,0,0,0,0,0
63.0,35.0,16.0,6.2724175,22.02721,65.3555,83.7328,1.75,3.7058823,2.0588236,0.568,0,0,0,0,0,0,0
79.0,45.0,20.0,5.715209,23.805462,59.24538,89.962204,1.7173913,3.7619047,2.142857,0.538,0,0,0,0,0,0,0
72.0,60.0,25.0,5.7734547,18.525108,69.027626,88.10234,1.1803279,2.7692308,2.3076923,0.54,0,0,0,0,0,0,0
67.0,51.0,24.0,5.5841713,23.50298,61.32026,64.777916,1.2884616,2.68,2.04,0.517,0,0,0,0,0,0,0
86.0,36.0,24.0,5.787268,26.549864,72.89188,73.33636,2.3243244,3.44,1.44,0.532,0,0,0,0,0,0,0
76.0,48.0,18.0,5.7759776,19.295633,69.63481,83.210304,1.5510204,4.0,2.5263157,0.536,0,0,0,0,0,0,0
75.0,53.0,18.0,6.864794,20.689,59.437534,103.651436,1.3888888,3.9473684,2.7894738,0.616,0,0,0,0,0,0,0
81.0,45.0,23.0,6.19236,19.32666,68.03449,84.22969,1.7608696,3.375,1.875,0.63,0,0,0,0,0,0,0
73.0,45.0,21.0,6.636803,24.605322,73.588684,96.59195,1.5869565,3.3181818,2.0454545,0.618,0,0,0,0,0,0,0
71.0,35.0,24.0,5.826427,22.273737,59.52193,67.96705,1.9722222,2.84,1.4,0.511,0,0,0,0,0,0,0
96.0,54.0,22.0,6.960358,25.701967,61.334503,83.207115,1.7454545,4.173913,2.347826,0.648,0,0,0,0,0,0,0
99.0,39.0,18.0,6.112751,19.201294,68.305786,87.85092,2.475,5.2105265,2.0526316,0.64,0,0,0,0,0,0,0
62.0,48.0,20.0,6.708447,21.701815,60.474705,95.71388,1.2653061,2.952381,2.2857144,0.602,0,0,0,0,0,0,0
86.0,37.0,16.0,5.5615106,20.517168,59.212357,67.61014,2.2631578,5.0588236,2.1764705,0.51,0,0,0,0,0,0,0
94.0,50.0,19.0,5.8732424,23.303553,73.62548,97.59081,1.8431373,4.7,2.5,0.568,0,0,0,0,0,0,0
76.0,39.0,24.0,6.995844,24.254745,55.6471,64.23846,1.9,3.04,1.56,0.619,0,0,0,0,0,0,0
77.0,52.0,17.0,5.7148,24.863749,65.742004,75.82271,1.4528302,4.2777777,2.8888888,0.531,0,0,0,0,0,0,0
74.0,39.0,23.0,6.7807364,22.62651,65.77473,88.17251,1.85,3.0833333,1.625,0.615,0,0,0,0,0,0,0
81.0,49.0,20.0,5.513698,18.041855,60.614944,104.23216,1.62,3.857143,2.3333333,0.523,0,0,0,0,0,0,0
63.0,42.0,21.0,5.798424,23.262377,72.33125,67.10225,1.4651163,2.8636363,1.9090909,0.526,0,0,0,0,0,0,0
99.0,38.0,21.0,6.352472,22.883308,71.59722,67.727776,2.5384614,4.5,1.7272727,0.638,0,0,0,0,0,0,0
90.0,52.0,25.0,6.8225865,25.974823,69.36385,103.22342,1.6981132,3.4615386,2.0,0.644,0,0,0,0,0,0,0
68.0,40.0,19.0,6.6554265,26.14384,66.205696,107.23614,1.6585366,3.4,2.0,0.609,0,0,0,0,0,0,0
60.0,57.0,24.0,6.121294,18.661161,61.553272,75.03248,1.0344827,2.4,2.28,0.605,0,0,0,0,0,0,0
71.0,52.0,18.0,5.79077,25.107874,55.97733,78.160774,1.3396226,3.7368422,2.7368422,0.531,0,0,0,0,0,0,0
61.0,59.0,17.0,6.474443,23.338446,59.245808,105.008316,1.0166667,3.3888888,3.2777777,0.598,0,0,0,0,0,0,0
88.0,38.0,15.0,6.4551167,25.082397,65.92196,62.49191,2.2564104,5.5,2.375,0.616,0,0,0,0,0,0,0
65.0,60.0,22.0,6.606984,25.367683,72.520546,107.912415,1.0655738,2.826087,2.6086957,0.609,0,0,0,0,0,0,0
78.0,37.0,22.0,6.3305545,25.34217,63.31802,74.52082,2.0526316,3.3913043,1.6086956,0.606,0,0,0,0,0,0,0
78.0,58.0,15.0,6.528631,25.009333,67.81657,62.913593,1.3220339,4.875,3.625,0.616,0,0,0,0,0,0,0
92.0,60.0,23.0,5.7216673,18.667467,71.51647,69.93293,1.5081967,3.8333333,2.5,0.558,0,0,0,0,0,0,0
79.0,59.0,17.0,6.6442056,20.379997,63.7385,108.50544,1.3166667,4.388889,3.2777777,0.62,0,0,0,0,0,0,0
91.0,55.0,15.0,6.3766513,18.093002,72.610245,78.96159,1.625,5.6875,3.4375,0.633,0,0,0,0,0,0,0
76.0,51.0,18.0,6.2470403,26.169859,71.96246,79.84925,1.4615384,4.0,2.6842105,0.618,0,0,0,0,0,0,0
87.0,48.0,25.0,6.65673,18.653967,61.378796,93.62039,1.7755102,3.3461537,1.8461539,0.64,0,0,0,0,0,0,0
71.0,60.0,22.0,6.2048016,26.074701,59.371475,85.75693,1.1639345,3.0869565,2.6086957,0.616,0,0,0,0,0,0,0
90.0,57.0,24.0,6.15886,18.928518,72.800865,82.34163,1.5517242,3.6,2.28,0.643,0,0,0,0,0,0,0
67.0,35.0,22.0,6.385684,23.305468,63.24648,108.7603,1.8611112,2.9130435,1.5217391,0.58,0,0,0,0,0,0,0
60.0,54.0,19.0,6.4178205,18.748266,62.498783,70.23402,1.0909091,3.0,2.7,0.599,0,0,0,0,0,0,0
83.0,58.0,23.0,6.3812017,19.742134,59.662632,65.50861,1.4067796,3.4583333,2.4166667,0.632,0,0,0,0,0,0,0
83.0,57.0,19.0,6.877869,25.730444,70.74739,98.73772,1.4310344,4.15,2.85,0.628,0,0,0,0,0,0,0
40.0,72.0,77.0,7.4859962,17.024984,16.988611,88.55123,0.5479452,0.51282054,0.9230769,0.646,1,0,0,0,1,0,1
23.0,72.0,84.0,6.9202514,19.020613,17.131592,79.92698,0.31506848,0.27058825,0.84705883,0.634,0,0,0,0,0,0,1
39.0,58.0,85.0,5.996932,17.887764,15.405897,68.54933,0.66101694,0.45348838,0.6744186,0.592,0,0,0,0,0,0,1
22.0,72.0,85.0,6.3911734,18.868057,15.6580925,88.51049,0.30136988,0.25581396,0.8372093,0.634,0,0,0,0,0,0,1
36.0,67.0,77.0,7.152811,18.369526,19.56381,79.26358,0.5294118,0.46153846,0.85897434,0.641,1,0,0,0,1,0,1
